ASV unite_kingdom unite_phylum unite_class unite_order unite_family unite_genus unite_species
ASV_ITS_00184 k__Fungi p__Ascomycota c__Dothideomycetes o__Capnodiales f__Teratosphaeriaceae g__Bryochiton s__monascus
ASV_ITS_00185 k__Fungi p__Basidiomycota c__Agaricomycetes o__Auriculariales NA NA NA
ASV_ITS_00186 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Hymenogastraceae g__Hebeloma NA
ASV_ITS_00187 k__Fungi p__Basidiomycota c__Agaricomycetes o__Thelephorales f__Thelephoraceae g__Tomentella s__badia
ASV_ITS_00188 k__Fungi p__Ascomycota c__Eurotiomycetes o__Chaetothyriales f__Herpotrichiellaceae g__Cladophialophora NA
ASV_ITS_00189 k__Fungi p__Basidiomycota c__Tremellomycetes o__Filobasidiales f__Piskurozymaceae g__Solicoccozyma s__terricola
ASV_ITS_00190 k__Fungi p__Mortierellomycota c__Mortierellomycetes o__Mortierellales f__Mortierellaceae g__Mortierella s__turficola
ASV_ITS_00191 k__Fungi NA NA NA NA NA NA
ASV_ITS_00192 k__Fungi p__Ascomycota c__Leotiomycetes NA NA NA NA
ASV_ITS_00193 k__Fungi p__Mortierellomycota c__Mortierellomycetes o__Mortierellales f__Mortierellaceae g__Mortierella s__globulifera
ASV_ITS_00194 k__Fungi p__Mortierellomycota c__Mortierellomycetes o__Mortierellales f__Mortierellaceae g__Mortierella s__humilis
ASV_ITS_00195 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Tricladiaceae g__Tricladium s__minutum
ASV_ITS_00196 k__Fungi NA NA NA NA NA NA
ASV_ITS_00197 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae g__Polydesmia NA
ASV_ITS_00198 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Leotiaceae g__Neobulgaria NA
ASV_ITS_00199 k__Fungi p__Basidiomycota NA NA NA NA NA
ASV_ITS_00200 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00201 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Entolomataceae g__Entoloma NA
ASV_ITS_00202 k__Fungi p__Ascomycota c__Sordariomycetes o__Coniochaetales NA NA NA
ASV_ITS_00203 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
